Data,Wartość
2012-01-13,5.63 
2012-01-06,5.6 
2011-12-30,5.49 
2011-12-23,5.47 
2011-12-15,5.46 
2011-12-08,5.46 
2011-12-01,5.44 
2011-11-24,5.42 
2011-11-18,5.42 
2011-11-11,5.42 
2011-11-04,5.39 
2011-10-28,5.35 
2011-10-21,5.35 
2011-10-14,5.32 
2011-10-07,5.23 
2011-09-30,5.2 
2011-09-23,5.23 
2011-09-16,5.22 
2011-09-09,5.17 
2011-09-02,5.06 
2011-08-26,5.04 
2011-08-19,5.05 
2011-08-11,5.14 
2011-08-04,5.21 
2011-07-28,5.28 
2011-07-21,5.29 
2011-07-07,5.12 
2011-06-30,5.06 
2011-06-23,5.07 
2011-06-14,5.1 
2011-06-09,5.13 
2011-06-02,5.14 
2011-05-26,5.15 
2011-05-19,5.16 
2011-05-12,5.17 
2011-05-05,5.18 
2011-04-28,5.17 
2011-04-21,5.17 
2011-04-13,5.16 
2011-04-07,5.16 
2011-03-31,5.13 
2011-03-24,5.09 
2011-03-17,5.04 
2011-03-10,5.03 
2011-03-03,4.98 
2011-02-24,4.9 
2011-02-17,4.85 
2011-02-10,4.81 
2011-02-03,4.82 
2011-01-27,4.83 
2011-01-20,4.87 
2011-01-13,4.88 
2011-01-06,4.91 
2010-12-30,4.92 
2010-12-29,4.93 
2010-12-23,4.86 
2010-12-16,4.88 
2010-12-09,4.86 
2010-12-02,4.78 
2010-11-25,4.67 
2010-11-18,4.61 
2010-11-11,4.59 
2010-11-02,4.55 
2010-10-28,4.57 
2010-10-21,4.59 
2010-10-14,4.57 
2010-10-07,4.54 
2010-09-30,4.58 
2010-09-23,4.54 
2010-09-16,4.57 
2010-09-09,4.57 
2010-09-02,4.54 
2010-08-26,4.55 
2010-08-19,4.56 
2010-08-12,4.58 
2010-08-05,4.6 
2010-07-30,4.63 
2010-07-22,4.66 
2010-07-16,4.67 
2010-07-08,4.7 
2010-07-01,4.74 
2010-06-24,4.72 
2010-06-17,4.75 
2010-06-03,4.67 
2010-05-26,4.69 
2010-05-21,4.71 
2010-05-14,4.75 
2010-05-06,4.72 
2010-04-29,4.66 
2010-04-23,4.65 
2010-04-15,4.6 
2010-04-08,4.61 
2010-04-01,4.56 
2010-03-25,4.57 
2010-03-18,4.5 
2010-03-11,4.5 
2010-03-05,4.45 
2010-02-25,4.39 
2010-02-19,4.4 
2010-02-12,4.35 
2010-02-05,4.36 
2010-01-28,4.39 
2010-01-21,4.36 
2010-01-14,4.38 
2010-01-07,4.41 
2009-12-31,4.32 
2009-12-23,4.3 
2009-12-16,4.25 
2009-12-10,4.26 
2009-12-03,4.31 
2009-11-26,4.29 
2009-11-19,4.32 
2009-11-12,4.34 
2009-11-05,4.37 
2009-10-29,4.38 
2009-10-22,4.3 
2009-10-15,4.25 
2009-10-08,4.27 
2009-10-01,4.29 
2009-09-24,4.32 
2009-09-17,4.36 
2009-09-10,4.38 
2009-09-03,4.41 
2009-08-27,4.44 
2009-08-21,4.45 
2009-08-14,4.46 
2009-08-06,4.47 
2009-07-30,4.48 
2009-07-23,4.5 
2009-07-16,4.54 
2009-07-10,4.57 
2009-07-03,4.61 
2009-06-26,4.62 
2009-06-19,4.62 
2009-06-11,4.54 
2009-06-03,4.39 
2009-05-28,4.36 
2009-05-21,4.29 
2009-05-14,4.21 
2009-05-07,4.12 
2009-04-30,3.99 
2009-04-23,4.
2009-04-16,3.92 
2009-04-09,3.94 
2009-04-02,3.96 
2009-03-26,3.94 
2009-03-19,3.84 
2009-03-12,3.87 
2009-03-05,3.87 
2009-02-26,3.91 
2009-02-19,3.88 
2009-02-12,3.9 
2009-02-05,3.81 
2009-01-29,3.7 
2009-01-22,3.58 
2009-01-15,3.49 
2009-01-08,3.42 
2009-01-01,3.34 
2008-12-11,3.52 
2008-12-04,3.66 
2008-11-27,3.74 
2008-11-20,3.82 
2008-11-13,3.92 
2008-11-06,4.02 
2008-10-30,4.1 
2008-10-23,4.18 
2008-10-16,4.24 
2008-10-09,4.31 
2008-10-02,4.35 
2008-09-25,4.38 
2008-09-19,4.4 
2008-09-11,4.45 
2008-09-04,4.41 
2008-08-28,4.44 
2008-08-21,4.46 
2008-08-14,4.5 
2008-08-07,4.54 
2008-07-31,4.59 
2008-07-24,4.64 
2008-07-17,4.69 
2008-07-10,4.71 
2008-07-03,4.71 
2008-06-26,4.7 
2008-06-19,4.69 
2008-06-12,4.67 
2008-06-05,4.62 
2008-05-29,4.62 
2008-05-22,4.59 
2008-05-14,4.54 
2008-05-08,4.46 
2008-05-01,4.33 
2008-04-17,4.33 
2008-04-10,4.34 
2008-04-03,4.32 
2008-03-27,4.33 
2008-03-20,4.33 
2008-03-13,4.34 
2008-03-06,4.35 
2008-02-28,4.37 
2008-02-21,4.35 
2008-02-14,4.29 
2008-02-07,4.24 
2008-01-31,4.27 
2008-01-24,4.26 
2008-01-17,4.28 
2008-01-10,4.31 
2008-01-03,4.34 
2007-12-27,4.32 
2007-12-20,4.34 
2007-12-13,4.36 
2007-12-06,4.4 
2007-11-29,4.44 
2007-11-22,4.46 
2007-11-15,4.44 
2007-11-08,4.46 
2007-11-01,4.41 
2007-10-24,4.34 
2007-10-18,4.3 
2007-10-11,4.3 
2007-10-04,4.32 
2007-09-27,4.33 
2007-09-20,4.34 
2007-09-13,4.36 
2007-09-06,4.35 
2007-08-30,4.33 
2007-08-23,4.34 
2007-08-16,4.36 
2007-08-09,4.38 
2007-08-02,4.39 
2007-07-19,4.43 
2007-07-12,4.43 
2007-07-05,4.44 
2007-06-28,4.46 
2007-06-21,4.47 
2007-06-14,4.45 
2007-06-07,4.44 
2007-05-30,4.46 
2007-05-24,4.47 
2007-05-17,4.42 
2007-05-10,4.34 
2007-05-03,4.36 
2007-04-19,4.42 
2007-04-12,4.29 
2007-04-05,4.23 
2007-03-29,4.19 
2007-03-22,4.1 
2007-03-15,4.11 
2007-03-08,4.07 
2007-03-01,3.98 
2007-02-22,3.87 
2007-02-15,3.8 
2007-02-08,3.82 
2007-02-01,3.74 
2007-01-25,3.64 
2007-01-18,3.65 
2007-01-11,3.65 
2007-01-04,3.65 
2006-12-28,3.63 
2006-12-21,3.58 
2006-12-14,3.6 
2006-12-07,3.63 
2006-11-30,3.65 
2006-11-23,3.68 
2006-11-16,3.72 
2006-11-09,3.76 
2006-11-02,3.78 
2006-10-26,3.83 
2006-10-19,3.86 
2006-10-12,3.89 
2006-10-05,3.93 
2006-09-28,3.99 
2006-09-21,4.05 
2006-09-14,4.14 
2006-09-07,4.21 
2006-08-31,4.27 
2006-08-24,4.32 
2006-08-17,4.36 
2006-08-10,4.39 
2006-08-03,4.4 
2006-07-27,4.38 
2006-07-20,4.35 
2006-07-13,4.31 
2006-07-06,4.31 
2006-06-29,4.28 
