name,city,region,make,price,year,mileage,engine_capacity,fuel_type,price
Skoda Superb 1.6 TDI GreenLine,Lipnik,Zachodniopomorskie,skoda,74990,2016,99300,1598,diesel,74990
Audi A3 1.9 TDI Ambiente,Luboń,Wielkopolskie,audi,11000,2003,259000,1896,diesel,11000
Volkswagen Passat Variant 2.0 TDI DSG BlueMotion Technology Comfortline,Żory,Śląskie,volkswagen,63000,2013,157280,1968,diesel,63000
Skoda Octavia 1.6 TDI Ambition,Jelenia Góra,Dolnośląskie,skoda,36800,2014,290000,1598,diesel,36800
Opel Astra,Mielżyn,Wielkopolskie,opel,51900,2017,90000,1400,petrol,51900
Dodge Challenger Automatik 392 Hemi Scat Pack Shaker,Ełk,Warmińsko-mazurskie,dodge,120000,2018,33200,6417,petrol,120000
Volkswagen Golf,Ostrowiec Świętokrzyski,Świętokrzyskie,volkswagen,4500,1996,179793,1781,petrol,4500
Fiat Panda 1.1 Active dla kobiet,Gdańsk,Pomorskie,fiat,9900,2009,70000,1108,petrol,9900
BMW Seria 3 318i Touring Edition Exclusive,Ziębice,Dolnośląskie,bmw,27900,2010,192000,1995,petrol,27900
Citroën C4 Picasso BlueHDi 150 EAT6 Exclusive,Białystok,Podlaskie,citroen,43900,2014,318000,1997,diesel,43900
Opel Insignia 1.6 CDTI Exclusive S&S Eco,Przasnysz,Mazowieckie,opel,78499,2019,139000,1598,diesel,78499
Volkswagen Passat 1.8 TSI BMT Comfortline DSG,Radom,Mazowieckie,volkswagen,82900,2017,121283,1798,petrol,82900
BMW Seria 3 318ti,Ostrowiec Świętokrzyski,Świętokrzyskie,bmw,5500,2002,187857,1995,petrol,5500
BMW Seria 3 318d DPF Touring Edition Sport,Lubin,Dolnośląskie,bmw,42900,2013,225825,1995,diesel,42900
BMW i3,Warszawa,Mazowieckie,bmw,149900,2020,30650,,electric,149900
Volvo V60,Warszawa,Mazowieckie,volvo,119000,2015,181000,2969,petrol,119000
Volkswagen Tiguan 1.5 TSI EVO Life DSG,Radom,Mazowieckie,volkswagen,134900,2020,88497,1498,petrol,134900
Toyota Auris 1.6 Active,Warszawa,Mazowieckie,toyota,49000,2015,140000,1598,petrol,49000
BMW Seria 5 520d,Bolesławiec,Dolnośląskie,bmw,83500,2016,139000,1995,diesel,83500
Renault Kadjar Energy TCe 130 Bose Edition,Niemodlin,Opolskie,renault,62500,2016,95473,1197,petrol,62500
Citroën C4,Żórawina,Dolnośląskie,citroen,10800,2008,253000,1360,petrol,10800
Ford Galaxy 2.0 TDCi Ghia,Gdynia,Pomorskie,ford,23899,2006,280000,1997,diesel,23899
Volkswagen Passat 1.8 TSI BMT Highline DSG,Radom,Mazowieckie,volkswagen,89900,2017,120032,1798,petrol,89900
Volkswagen Passat,Ostrowiec Świętokrzyski,Świętokrzyskie,volkswagen,5999,2003,163043,1984,petrol,5999
Land Rover Range Rover Evoque 2.0 D180 mHEV R-Dynamic S,Świecino,Pomorskie,land-rover,194000,2019,51861,1999,diesel,194000
Mercedes-Benz Klasa A 200 AMG Line 7G-DCT,Warszawa,Mazowieckie,mercedes-benz,146500,2018,59601,1332,petrol,146500
Dodge Grand Caravan,Bielsko-Biała,Śląskie,dodge,74500,2018,137000,3605,petrol,74500
DS Automobiles DS 7 Crossback 1.5 BlueHDi So Chic,Zduńska Wola,Łódzkie,ds-automobiles,97900,2018,91030,1499,diesel,97900
Hyundai Coupe 2.0 GL,Ostrowiec Świętokrzyski,Świętokrzyskie,hyundai,5999,2002,129674,1975,petrol,5999
Chevrolet Orlando 1.8 LS+,Mszana,Śląskie,chevrolet,33900,2011,107682,1796,petrol,33900
Opel Mokka X 1.4 T Design Line S&S,Nowy Targ,Małopolskie,opel,58900,2018,68000,1364,petrol,58900
Volkswagen Golf 2.0 TDI BMT GTD,Bystrzyca Kłodzka,Dolnośląskie,volkswagen,59500,2015,199500,1968,diesel,59500
Ford Kuga 2.0 TDCi 4WD Titanium,Niwy,Świętokrzyskie,ford,59900,2014,146000,1997,diesel,59900
